id_cliente,nome,sobrenome,tipo,email,telefone,cpf_cnpj,data_nascimento,data_cadastro,cidade,estado
680,Léo,Sales,PF,losales@uol.com.br,13997318021,03597148204,2001-01-26,2024-04-13,Teixeira de Goiás,PE
737,Lucca,Mendonça,PF,lucca_mendona@hotmail.com,,08964752120,1969-02-20,2024-04-13,Silveira Verde,MS
1645,Alexandre,Sá,PF,alexandre64@gmail.com,+5571980732269,462.897.031-96,1980-07-25,2024-04-13,Castro dos Dourados,MT
196,Vasconcelos & Associados ME,,PJ,vasconcelo_@empresa.com.br,+5561934615577,73425609000186,2003-01-14,2024-04-14,da Cunha,TO
640,Yago,Costela,PF,yagocostela@ig.com.br,(71) 93801-6590,95673120443,1956-12-25,2024-04-14,Novaes,ES
2967,Ana Liz,Araújo,PF,analizarajo@uol.com.br,(21) 94749-1357,152.693.874-09,1973-12-23,2024-04-14,Siqueira da Praia,TO
3093,Juliana,Vargas,PF,davilucas42@gmail.com,,370.261.859-77,1971-07-01,2024-04-14,das Neves da Praia,BA
3408,Luiza,Alves,PF,luiza.alves@gmail.com,(41) 96175-7699,69384157066,1969-04-12,2024-04-14,Nunes dos Dourados,AM
201,Santos Soluções e Serviços S/A,,PJ,s@empresa.com.br,+5551934538173,56.317.092/0001-92,2006-02-21,2024-04-15,da Rosa das Flores,SP
1323,Vitória,Moreira,PF,vitria_moreira@outlook.com,31936427980,208_541_396_05,1966-11-22,2024-04-15,das Neves,CE
1493,Eduardo,da Mata,PF,eduardo.damata@hotmail.com,+5571933069402,902.136.548-06,1984-12-04,2024-04-15,da Rocha,MA
2784,Ana Vitória,Silva,PF,anavitriasilva@yahoo.com.br,+5531958272478,921_536_048_42,1965-06-10,2024-04-15,Rios,MG
2909,Alexia,Castro,PF,alexiacastro@outlook.com,21987689730,983_472_506_00,1986-03-18,2024-04-15,Jesus dos Dourados,SE
1531,Sara,Vargas,PF,svargas@gmail.com,,750.468.213-62,1992-04-25,2024-04-16,Nascimento da Praia,AM
1563,Isaque,Moraes,PF,isaquemoraes@outlook.com,+5561937078489,608.139.247-31,1964-03-29,2024-04-16,Cassiano de Ramos,ES
1614,Nicole,Novaes,PF,nicolenovaes@gmail.com,+5571978647210,621.097.835-59,1990-06-29,2024-04-16,Correia,RN
1874,Camila,Marques,PF,cmarques@uol.com.br,(51) 92194-6163,19786205430,1988-02-03,2024-04-17,Barbosa de da Cunha,PE
2013,Consultoria Santos EIRELI,,PJ,consultori@comercio.net.br,(51) 96143-2837,97235160000151,,2024-04-17,da Conceição das Pedras,RJ
