id_funcionario,nome,sobrenome,cpf,cargo,data_admissao,salario,id_departamento,departamento_nome,id_loja,loja_nome,loja_tipo,loja_cidade,loja_estado
3,Rael,Cassiano,970_428_356_38,Coordenador,2023-02-08,2184.96,4,Financeiro,1,CD Osasco,Online,Osasco,SP
17,Rafael,Siqueira,075.489.136-48,Gerente,2025-11-03,2865.76,3,Logística,1,CD Osasco,Online,Osasco,SP
10,Ana Carolina,Cavalcante,60751983420,Gerente,2023-07-25,4493.99,6,Marketing,1,CD Osasco,Online,Osasco,SP
7,Maria Laura,Vargas,436_908_571_39,Assistente,2021-04-20,10280.45,6,Marketing,1,CD Osasco,Online,Osasco,SP
20,Marina,Lopes,095_637_481_66,Assistente,2021-01-24,8684.43,6,Marketing,1,CD Osasco,Online,Osasco,SP
6,Bernardo,Pereira,82397645173,Coordenador,2021-10-07,11235.00,5,RH,1,CD Osasco,Online,Osasco,SP
4,Carolina,Novaes,459.630.218-98,Coordenador,2022-05-23,4942.47,5,RH,1,CD Osasco,Online,Osasco,SP
12,Cecília,Cirino,68349725010,Gerente,2023-06-24,5835.33,5,RH,1,CD Osasco,Online,Osasco,SP
15,Enzo Gabriel,Camargo,501_724_683_53,Assistente,2021-10-04,5908.14,5,RH,1,CD Osasco,Online,Osasco,SP
19,Vinícius,Ribeiro,348.029.157-05,Coordenador,2021-01-13,3182.92,5,RH,1,CD Osasco,Online,Osasco,SP
11,Alice,Nunes,095.487.216-94,Gerente,2025-10-10,5069.19,7,Suporte Técnico,1,CD Osasco,Online,Osasco,SP
8,Clarice,Nunes,34291586728,Coordenador,2022-08-31,10439.85,7,Suporte Técnico,1,CD Osasco,Online,Osasco,SP
2,Fernanda,da Mota,04612593707,Assistente,2023-11-17,5965.68,7,Suporte Técnico,1,CD Osasco,Online,Osasco,SP
18,Julia,Mendes,217.845.309-05,Gerente,2023-04-18,7685.67,7,Suporte Técnico,1,CD Osasco,Online,Osasco,SP
14,Alice,da Rosa,604_892_735_56,Coordenador,2024-08-09,6188.34,2,TI,1,CD Osasco,Online,Osasco,SP
9,Catarina,Teixeira,657_023_948_10,Assistente,2023-09-03,9557.71,2,TI,1,CD Osasco,Online,Osasco,SP
1,Guilherme,Gomes,764_035_189_84,Coordenador,2022-10-24,7768.87,2,TI,1,CD Osasco,Online,Osasco,SP
16,Maria Luísa,Cardoso,01294573888,Assistente,2026-03-05,5602.71,2,TI,1,CD Osasco,Online,Osasco,SP
13,Mathias,Melo,926_843_157_28,Gerente,2022-09-28,2587.94,2,TI,1,CD Osasco,Online,Osasco,SP
5,Vicente,Moreira,452.183.706-90,Coordenador,2025-03-31,10434.35,2,TI,1,CD Osasco,Online,Osasco,SP
78,Amanda,Santos,476_209_531_16,Assistente,2025-12-11,6345.19,3,Logística,6,Escritório Central,Online,São Paulo,SP
75,Dom,Garcia,38069712503,Assistente,2023-08-18,11742.76,3,Logística,6,Escritório Central,Online,São Paulo,SP
62,Mariane,Fonseca,68391502759,Analista,2022-03-10,5478.78,3,Logística,6,Escritório Central,Online,São Paulo,SP
69,Olívia,Montenegro,354.082.916-42,Coordenador,2020-04-23,5063.59,3,Logística,6,Escritório Central,Online,São Paulo,SP
74,Ravi,Ferreira,547.130.269-99,Gerente,2021-10-29,8085.06,6,Marketing,6,Escritório Central,Online,São Paulo,SP
66,Vinicius,Machado,179.826.053-03,Coordenador,2023-06-27,2810.32,6,Marketing,6,Escritório Central,Online,São Paulo,SP
64,Calebe,Alves,517.036.498-93,Gerente,2023-06-29,11841.61,5,RH,6,Escritório Central,Online,São Paulo,SP
71,Calebe,Cardoso,98674530184,Assistente,2021-06-10,5986.30,5,RH,6,Escritório Central,Online,São Paulo,SP
79,Pedro Lucas,Araújo,591_084_372_97,Analista,2024-10-16,6377.70,5,RH,6,Escritório Central,Online,São Paulo,SP
61,Ana Carolina,Brito,76308145262,Analista,2021-03-01,6123.40,7,Suporte Técnico,6,Escritório Central,Online,São Paulo,SP
80,Caroline,Novaes,573.291.864-73,Gerente,2020-07-02,11095.01,7,Suporte Técnico,6,Escritório Central,Online,São Paulo,SP
73,Davi Luiz,Caldeira,401_627_853_80,Assistente,2026-03-09,10405.14,7,Suporte Técnico,6,Escritório Central,Online,São Paulo,SP
70,Eloá,Barbosa,109_564_387_84,Gerente,2023-08-18,8141.93,7,Suporte Técnico,6,Escritório Central,Online,São Paulo,SP
72,João Vitor,das Neves,476_185_903_20,Gerente,2020-10-09,5426.69,7,Suporte Técnico,6,Escritório Central,Online,São Paulo,SP
76,Marina,da Rocha,905.642.873-00,Coordenador,2022-05-12,10066.62,7,Suporte Técnico,6,Escritório Central,Online,São Paulo,SP
77,Dante,Mendonça,98410265389,Coordenador,2022-03-29,7200.30,2,TI,6,Escritório Central,Online,São Paulo,SP
63,Isadora,da Rocha,613_798_405_20,Coordenador,2022-04-17,3992.75,2,TI,6,Escritório Central,Online,São Paulo,SP
68,Maria Laura,Monteiro,638_019_754_01,Assistente,2024-02-23,5428.40,2,TI,6,Escritório Central,Online,São Paulo,SP
65,Nathan,Cunha,970_826_451_20,Gerente,2025-03-11,3489.82,2,TI,6,Escritório Central,Online,São Paulo,SP
67,Sarah,Carvalho,968_173_205_77,Gerente,2025-01-01,3874.88,2,TI,6,Escritório Central,Online,São Paulo,SP
51,Bruna,Castro,762.534.180-17,Supervisor de Vendas,2023-12-08,11295.06,1,Vendas,5,Loja BH Centro,Física,Belo Horizonte,MG
55,Gustavo Henrique,Carvalho,90721534805,Supervisor de Vendas,2020-05-03,7266.65,1,Vendas,5,Loja BH Centro,Física,Belo Horizonte,MG
52,João,Mendonça,013.492.857-14,Supervisor de Vendas,2021-03-10,9737.07,1,Vendas,5,Loja BH Centro,Física,Belo Horizonte,MG
57,Léo,Freitas,937_426_501_06,Supervisor de Vendas,2021-06-18,10277.09,1,Vendas,5,Loja BH Centro,Física,Belo Horizonte,MG
59,Leonardo,Aparecida,81207659401,Vendedor,2021-03-26,5639.91,1,Vendas,5,Loja BH Centro,Física,Belo Horizonte,MG
60,Nathan,Moura,82479160530,Supervisor de Vendas,2026-02-23,9729.34,1,Vendas,5,Loja BH Centro,Física,Belo Horizonte,MG
53,Raul,Cassiano,71502938405,Supervisor de Vendas,2020-09-22,5432.74,1,Vendas,5,Loja BH Centro,Física,Belo Horizonte,MG
54,Sarah,Rezende,24830975610,Supervisor de Vendas,2024-11-07,9743.26,1,Vendas,5,Loja BH Centro,Física,Belo Horizonte,MG
56,Sofia,Aragão,627_139_045_52,Vendedor,2025-06-15,4265.02,1,Vendas,5,Loja BH Centro,Física,Belo Horizonte,MG
58,Yago,Vargas,963_270_815_68,Vendedor,2022-05-23,9162.74,1,Vendas,5,Loja BH Centro,Física,Belo Horizonte,MG
49,Caio,Pimenta,239_065_841_51,Vendedor,2021-03-31,9815.12,1,Vendas,4,Loja Campinas,Física,Campinas,SP
45,Isabella,Silveira,546.890.172-20,Vendedor,2023-10-12,11288.56,1,Vendas,4,Loja Campinas,Física,Campinas,SP
48,João,Camargo,729.681.350-40,Vendedor,2020-12-26,2023.56,1,Vendas,4,Loja Campinas,Física,Campinas,SP
46,Léo,Camargo,34685720180,Vendedor,2021-08-04,11867.14,1,Vendas,4,Loja Campinas,Física,Campinas,SP
42,Marcos Vinicius,Lopes,268.790.451-11,Vendedor,2021-08-29,2837.04,1,Vendas,4,Loja Campinas,Física,Campinas,SP
43,Maria Vitória,Pacheco,182_356_740_17,Vendedor,2024-08-29,4138.93,1,Vendas,4,Loja Campinas,Física,Campinas,SP
47,Pietra,Siqueira,67452983173,Supervisor de Vendas,2021-02-28,6435.15,1,Vendas,4,Loja Campinas,Física,Campinas,SP
44,Pietra,Sampaio,912_087_436_78,Vendedor,2024-10-04,7892.88,1,Vendas,4,Loja Campinas,Física,Campinas,SP
41,Renan,Sousa,732_491_506_06,Vendedor,2022-11-26,2885.53,1,Vendas,4,Loja Campinas,Física,Campinas,SP
50,Thiago,Guerra,126_840_539_60,Vendedor,2023-09-18,10098.04,1,Vendas,4,Loja Campinas,Física,Campinas,SP
21,Alexia,Aparecida,801_795_436_01,Vendedor,2021-07-18,4793.54,1,Vendas,2,Loja Paulista,Física,São Paulo,SP
29,Caio,Garcia,01745329625,Supervisor de Vendas,2023-03-09,5409.96,1,Vendas,2,Loja Paulista,Física,São Paulo,SP
25,Emanuella,Marques,261.980.453-15,Vendedor,2025-12-21,7876.75,1,Vendas,2,Loja Paulista,Física,São Paulo,SP
23,Giovanna,Ribeiro,03152689489,Vendedor,2022-10-05,3619.80,1,Vendas,2,Loja Paulista,Física,São Paulo,SP
22,João Vitor,Novais,05479682130,Vendedor,2026-01-06,4479.58,1,Vendas,2,Loja Paulista,Física,São Paulo,SP
26,Kevin,Oliveira,372_096_581_30,Supervisor de Vendas,2022-06-21,11670.52,1,Vendas,2,Loja Paulista,Física,São Paulo,SP
30,Lunna,Caldeira,36470258107,Supervisor de Vendas,2024-10-22,9073.11,1,Vendas,2,Loja Paulista,Física,São Paulo,SP
24,Marcelo,Pimenta,095_617_438_84,Vendedor,2021-03-25,8350.85,1,Vendas,2,Loja Paulista,Física,São Paulo,SP
28,Marcos Vinicius,Gonçalves,59732046180,Vendedor,2025-01-16,8466.12,1,Vendas,2,Loja Paulista,Física,São Paulo,SP
27,Vinicius,Garcia,03475968193,Vendedor,2023-07-24,5456.35,1,Vendas,2,Loja Paulista,Física,São Paulo,SP
34,Ana Vitória,Gomes,739.502.184-32,Supervisor de Vendas,2024-05-28,4425.56,1,Vendas,3,Loja Santo André,Física,Santo André,SP
33,Aurora,Garcia,38296015730,Vendedor,2026-02-07,6700.83,1,Vendas,3,Loja Santo André,Física,Santo André,SP
38,Bianca,Costela,426.310.789-69,Supervisor de Vendas,2021-07-13,9926.68,1,Vendas,3,Loja Santo André,Física,Santo André,SP
39,Emanuelly,Vargas,937.580.246-92,Vendedor,2021-07-11,10687.12,1,Vendas,3,Loja Santo André,Física,Santo André,SP
36,Gabriela,Siqueira,642_795_810_02,Vendedor,2025-03-03,8169.68,1,Vendas,3,Loja Santo André,Física,Santo André,SP
37,Mariane,Porto,760_594_328_83,Supervisor de Vendas,2024-10-02,9464.27,1,Vendas,3,Loja Santo André,Física,Santo André,SP
35,Marina,Correia,50391642707,Supervisor de Vendas,2025-07-27,11570.37,1,Vendas,3,Loja Santo André,Física,Santo André,SP
31,Melissa,Sampaio,35628791482,Vendedor,2025-09-20,10523.47,1,Vendas,3,Loja Santo André,Física,Santo André,SP
40,Olivia,Costela,743_296_185_91,Vendedor,2020-05-12,8543.27,1,Vendas,3,Loja Santo André,Física,Santo André,SP
32,Yuri,Nogueira,259.641.807-01,Supervisor de Vendas,2023-03-22,7840.50,1,Vendas,3,Loja Santo André,Física,Santo André,SP
