id_cliente,nome,sobrenome,tipo,telefone,data_nascimento,data_cadastro,cidade,estado,cpf_cnpj_normalizado,email_valido,idade,dias_desde_cadastro,cpf_cnpj_mascarado,email_mascarado
1645,Alexandre,Sá,PF,+5571980732269,1980-07-25,2024-04-13,Castro dos Dourados,MT,46289703196,True,45.0,730,*********96,a***@gmail.com
680,Léo,Sales,PF,13997318021,2001-01-26,2024-04-13,Teixeira de Goiás,PE,03597148204,True,25.0,730,*********04,l***@uol.com.br
737,Lucca,Mendonça,PF,,1969-02-20,2024-04-13,Silveira Verde,MS,08964752120,True,57.0,730,*********20,l***@hotmail.com
196,Vasconcelos & Associados ME,,PJ,+5561934615577,2003-01-14,2024-04-14,da Cunha,TO,73425609000186,True,23.0,729,************86,v***@empresa.com.br
2967,Ana Liz,Araújo,PF,(21) 94749-1357,1973-12-23,2024-04-14,Siqueira da Praia,TO,15269387409,True,52.0,729,*********09,a***@uol.com.br
3093,Juliana,Vargas,PF,,1971-07-01,2024-04-14,das Neves da Praia,BA,37026185977,True,54.0,729,*********77,d***@gmail.com
3408,Luiza,Alves,PF,(41) 96175-7699,1969-04-12,2024-04-14,Nunes dos Dourados,AM,69384157066,True,57.0,729,*********66,l***@gmail.com
640,Yago,Costela,PF,(71) 93801-6590,1956-12-25,2024-04-14,Novaes,ES,95673120443,True,69.0,729,*********43,y***@ig.com.br
1323,Vitória,Moreira,PF,31936427980,1966-11-22,2024-04-15,das Neves,CE,20854139605,True,59.0,728,*********05,v***@outlook.com
1493,Eduardo,da Mata,PF,+5571933069402,1984-12-04,2024-04-15,da Rocha,MA,90213654806,True,41.0,728,*********06,e***@hotmail.com
201,Santos Soluções e Serviços S/A,,PJ,+5551934538173,2006-02-21,2024-04-15,da Rosa das Flores,SP,56317092000192,True,20.0,728,************92,s***@empresa.com.br
2784,Ana Vitória,Silva,PF,+5531958272478,1965-06-10,2024-04-15,Rios,MG,92153604842,True,60.0,728,*********42,a***@yahoo.com.br
2909,Alexia,Castro,PF,21987689730,1986-03-18,2024-04-15,Jesus dos Dourados,SE,98347250600,True,40.0,728,*********00,a***@outlook.com
1531,Sara,Vargas,PF,,1992-04-25,2024-04-16,Nascimento da Praia,AM,75046821362,True,33.0,727,*********62,s***@gmail.com
1563,Isaque,Moraes,PF,+5561937078489,1964-03-29,2024-04-16,Cassiano de Ramos,ES,60813924731,True,62.0,727,*********31,i***@outlook.com
1614,Nicole,Novaes,PF,+5571978647210,1990-06-29,2024-04-16,Correia,RN,62109783559,True,35.0,727,*********59,n***@gmail.com
1874,Camila,Marques,PF,(51) 92194-6163,1988-02-03,2024-04-17,Barbosa de da Cunha,PE,19786205430,True,38.0,726,*********30,c***@uol.com.br
2013,Consultoria Santos EIRELI,,PJ,(51) 96143-2837,,2024-04-17,da Conceição das Pedras,RJ,97235160000151,True,,726,************51,c***@comercio.net.br
2115,Davi Luiz,Alves,PF,,1961-05-09,2024-04-17,Pimenta,RO,10834726580,True,64.0,726,*********80,d***@hotmail.com
2125,Cardoso & Associados Ltda.,,PJ,13987854496,1967-03-22,2024-04-17,Moraes,RR,70214598000105,True,59.0,726,************05,c***@comercio.net.br
