id_funcionario,nome,sobrenome,cargo,data_admissao,salario,id_departamento,departamento_nome,id_loja,loja_nome,loja_tipo,loja_cidade,loja_estado,cpf_normalizado,cpf_mascarado,tempo_casa_anos,tempo_casa_meses,faixa_salarial
3,Rael,Cassiano,Coordenador,2023-02-08,2184.96,4,Financeiro,1,CD Osasco,Online,Osasco,SP,97042835638,*********38,3,38,Júnior
17,Rafael,Siqueira,Gerente,2025-11-03,2865.76,3,Logística,1,CD Osasco,Online,Osasco,SP,07548913648,*********48,0,5,Júnior
10,Ana Carolina,Cavalcante,Gerente,2023-07-25,4493.99,6,Marketing,1,CD Osasco,Online,Osasco,SP,60751983420,*********20,2,33,Pleno
7,Maria Laura,Vargas,Assistente,2021-04-20,10280.45,6,Marketing,1,CD Osasco,Online,Osasco,SP,43690857139,*********39,4,60,Especialista
20,Marina,Lopes,Assistente,2021-01-24,8684.43,6,Marketing,1,CD Osasco,Online,Osasco,SP,09563748166,*********66,5,63,Sênior
6,Bernardo,Pereira,Coordenador,2021-10-07,11235.0,5,RH,1,CD Osasco,Online,Osasco,SP,82397645173,*********73,4,54,Especialista
4,Carolina,Novaes,Coordenador,2022-05-23,4942.47,5,RH,1,CD Osasco,Online,Osasco,SP,45963021898,*********98,3,47,Pleno
12,Cecília,Cirino,Gerente,2023-06-24,5835.33,5,RH,1,CD Osasco,Online,Osasco,SP,68349725010,*********10,2,34,Pleno
15,Enzo Gabriel,Camargo,Assistente,2021-10-04,5908.14,5,RH,1,CD Osasco,Online,Osasco,SP,50172468353,*********53,4,55,Pleno
19,Vinícius,Ribeiro,Coordenador,2021-01-13,3182.92,5,RH,1,CD Osasco,Online,Osasco,SP,34802915705,*********05,5,63,Pleno
11,Alice,Nunes,Gerente,2025-10-10,5069.19,7,Suporte Técnico,1,CD Osasco,Online,Osasco,SP,09548721694,*********94,0,6,Pleno
8,Clarice,Nunes,Coordenador,2022-08-31,10439.85,7,Suporte Técnico,1,CD Osasco,Online,Osasco,SP,34291586728,*********28,3,44,Especialista
2,Fernanda,da Mota,Assistente,2023-11-17,5965.68,7,Suporte Técnico,1,CD Osasco,Online,Osasco,SP,04612593707,*********07,2,29,Pleno
18,Julia,Mendes,Gerente,2023-04-18,7685.67,7,Suporte Técnico,1,CD Osasco,Online,Osasco,SP,21784530905,*********05,2,36,Sênior
14,Alice,da Rosa,Coordenador,2024-08-09,6188.34,2,TI,1,CD Osasco,Online,Osasco,SP,60489273556,*********56,1,20,Sênior
9,Catarina,Teixeira,Assistente,2023-09-03,9557.71,2,TI,1,CD Osasco,Online,Osasco,SP,65702394810,*********10,2,31,Especialista
1,Guilherme,Gomes,Coordenador,2022-10-24,7768.87,2,TI,1,CD Osasco,Online,Osasco,SP,76403518984,*********84,3,42,Sênior
16,Maria Luísa,Cardoso,Assistente,2026-03-05,5602.71,2,TI,1,CD Osasco,Online,Osasco,SP,01294573888,*********88,0,1,Pleno
13,Mathias,Melo,Gerente,2022-09-28,2587.94,2,TI,1,CD Osasco,Online,Osasco,SP,92684315728,*********28,3,43,Júnior
5,Vicente,Moreira,Coordenador,2025-03-31,10434.35,2,TI,1,CD Osasco,Online,Osasco,SP,45218370690,*********90,1,12,Especialista
78,Amanda,Santos,Assistente,2025-12-11,6345.19,3,Logística,6,Escritório Central,Online,São Paulo,SP,47620953116,*********16,0,4,Sênior
75,Dom,Garcia,Assistente,2023-08-18,11742.76,3,Logística,6,Escritório Central,Online,São Paulo,SP,38069712503,*********03,2,32,Especialista
62,Mariane,Fonseca,Analista,2022-03-10,5478.78,3,Logística,6,Escritório Central,Online,São Paulo,SP,68391502759,*********59,4,49,Pleno
69,Olívia,Montenegro,Coordenador,2020-04-23,5063.59,3,Logística,6,Escritório Central,Online,São Paulo,SP,35408291642,*********42,5,72,Pleno
74,Ravi,Ferreira,Gerente,2021-10-29,8085.06,6,Marketing,6,Escritório Central,Online,São Paulo,SP,54713026999,*********99,4,54,Sênior
66,Vinicius,Machado,Coordenador,2023-06-27,2810.32,6,Marketing,6,Escritório Central,Online,São Paulo,SP,17982605303,*********03,2,34,Júnior
64,Calebe,Alves,Gerente,2023-06-29,11841.61,5,RH,6,Escritório Central,Online,São Paulo,SP,51703649893,*********93,2,33,Especialista
71,Calebe,Cardoso,Assistente,2021-06-10,5986.3,5,RH,6,Escritório Central,Online,São Paulo,SP,98674530184,*********84,4,58,Pleno
79,Pedro Lucas,Araújo,Analista,2024-10-16,6377.7,5,RH,6,Escritório Central,Online,São Paulo,SP,59108437297,*********97,1,18,Sênior
61,Ana Carolina,Brito,Analista,2021-03-01,6123.4,7,Suporte Técnico,6,Escritório Central,Online,São Paulo,SP,76308145262,*********62,5,62,Sênior
80,Caroline,Novaes,Gerente,2020-07-02,11095.01,7,Suporte Técnico,6,Escritório Central,Online,São Paulo,SP,57329186473,*********73,5,70,Especialista
73,Davi Luiz,Caldeira,Assistente,2026-03-09,10405.14,7,Suporte Técnico,6,Escritório Central,Online,São Paulo,SP,40162785380,*********80,0,1,Especialista
70,Eloá,Barbosa,Gerente,2023-08-18,8141.93,7,Suporte Técnico,6,Escritório Central,Online,São Paulo,SP,10956438784,*********84,2,32,Sênior
72,João Vitor,das Neves,Gerente,2020-10-09,5426.69,7,Suporte Técnico,6,Escritório Central,Online,São Paulo,SP,47618590320,*********20,5,67,Pleno
76,Marina,da Rocha,Coordenador,2022-05-12,10066.62,7,Suporte Técnico,6,Escritório Central,Online,São Paulo,SP,90564287300,*********00,3,47,Especialista
77,Dante,Mendonça,Coordenador,2022-03-29,7200.3,2,TI,6,Escritório Central,Online,São Paulo,SP,98410265389,*********89,4,49,Sênior
63,Isadora,da Rocha,Coordenador,2022-04-17,3992.75,2,TI,6,Escritório Central,Online,São Paulo,SP,61379840520,*********20,3,48,Pleno
68,Maria Laura,Monteiro,Assistente,2024-02-23,5428.4,2,TI,6,Escritório Central,Online,São Paulo,SP,63801975401,*********01,2,26,Pleno
65,Nathan,Cunha,Gerente,2025-03-11,3489.82,2,TI,6,Escritório Central,Online,São Paulo,SP,97082645120,*********20,1,13,Pleno
67,Sarah,Carvalho,Gerente,2025-01-01,3874.88,2,TI,6,Escritório Central,Online,São Paulo,SP,96817320577,*********77,1,15,Pleno
51,Bruna,Castro,Supervisor de Vendas,2023-12-08,11295.06,1,Vendas,5,Loja BH Centro,Física,Belo Horizonte,MG,76253418017,*********17,2,28,Especialista
55,Gustavo Henrique,Carvalho,Supervisor de Vendas,2020-05-03,7266.65,1,Vendas,5,Loja BH Centro,Física,Belo Horizonte,MG,90721534805,*********05,5,72,Sênior
52,João,Mendonça,Supervisor de Vendas,2021-03-10,9737.07,1,Vendas,5,Loja BH Centro,Física,Belo Horizonte,MG,01349285714,*********14,5,62,Especialista
57,Léo,Freitas,Supervisor de Vendas,2021-06-18,10277.09,1,Vendas,5,Loja BH Centro,Física,Belo Horizonte,MG,93742650106,*********06,4,58,Especialista
59,Leonardo,Aparecida,Vendedor,2021-03-26,5639.91,1,Vendas,5,Loja BH Centro,Física,Belo Horizonte,MG,81207659401,*********01,5,61,Pleno
60,Nathan,Moura,Supervisor de Vendas,2026-02-23,9729.34,1,Vendas,5,Loja BH Centro,Física,Belo Horizonte,MG,82479160530,*********30,0,1,Especialista
53,Raul,Cassiano,Supervisor de Vendas,2020-09-22,5432.74,1,Vendas,5,Loja BH Centro,Física,Belo Horizonte,MG,71502938405,*********05,5,67,Pleno
54,Sarah,Rezende,Supervisor de Vendas,2024-11-07,9743.26,1,Vendas,5,Loja BH Centro,Física,Belo Horizonte,MG,24830975610,*********10,1,17,Especialista
56,Sofia,Aragão,Vendedor,2025-06-15,4265.02,1,Vendas,5,Loja BH Centro,Física,Belo Horizonte,MG,62713904552,*********52,0,10,Pleno
58,Yago,Vargas,Vendedor,2022-05-23,9162.74,1,Vendas,5,Loja BH Centro,Física,Belo Horizonte,MG,96327081568,*********68,3,47,Especialista
49,Caio,Pimenta,Vendedor,2021-03-31,9815.12,1,Vendas,4,Loja Campinas,Física,Campinas,SP,23906584151,*********51,5,61,Especialista
45,Isabella,Silveira,Vendedor,2023-10-12,11288.56,1,Vendas,4,Loja Campinas,Física,Campinas,SP,54689017220,*********20,2,30,Especialista
48,João,Camargo,Vendedor,2020-12-26,2023.56,1,Vendas,4,Loja Campinas,Física,Campinas,SP,72968135040,*********40,5,64,Júnior
46,Léo,Camargo,Vendedor,2021-08-04,11867.14,1,Vendas,4,Loja Campinas,Física,Campinas,SP,34685720180,*********80,4,57,Especialista
42,Marcos Vinicius,Lopes,Vendedor,2021-08-29,2837.04,1,Vendas,4,Loja Campinas,Física,Campinas,SP,26879045111,*********11,4,56,Júnior
43,Maria Vitória,Pacheco,Vendedor,2024-08-29,4138.93,1,Vendas,4,Loja Campinas,Física,Campinas,SP,18235674017,*********17,1,19,Pleno
47,Pietra,Siqueira,Supervisor de Vendas,2021-02-28,6435.15,1,Vendas,4,Loja Campinas,Física,Campinas,SP,67452983173,*********73,5,62,Sênior
44,Pietra,Sampaio,Vendedor,2024-10-04,7892.88,1,Vendas,4,Loja Campinas,Física,Campinas,SP,91208743678,*********78,1,18,Sênior
41,Renan,Sousa,Vendedor,2022-11-26,2885.53,1,Vendas,4,Loja Campinas,Física,Campinas,SP,73249150606,*********06,3,41,Júnior
50,Thiago,Guerra,Vendedor,2023-09-18,10098.04,1,Vendas,4,Loja Campinas,Física,Campinas,SP,12684053960,*********60,2,31,Especialista
21,Alexia,Aparecida,Vendedor,2021-07-18,4793.54,1,Vendas,2,Loja Paulista,Física,São Paulo,SP,80179543601,*********01,4,57,Pleno
29,Caio,Garcia,Supervisor de Vendas,2023-03-09,5409.96,1,Vendas,2,Loja Paulista,Física,São Paulo,SP,01745329625,*********25,3,37,Pleno
25,Emanuella,Marques,Vendedor,2025-12-21,7876.75,1,Vendas,2,Loja Paulista,Física,São Paulo,SP,26198045315,*********15,0,3,Sênior
23,Giovanna,Ribeiro,Vendedor,2022-10-05,3619.8,1,Vendas,2,Loja Paulista,Física,São Paulo,SP,03152689489,*********89,3,42,Pleno
22,João Vitor,Novais,Vendedor,2026-01-06,4479.58,1,Vendas,2,Loja Paulista,Física,São Paulo,SP,05479682130,*********30,0,3,Pleno
26,Kevin,Oliveira,Supervisor de Vendas,2022-06-21,11670.52,1,Vendas,2,Loja Paulista,Física,São Paulo,SP,37209658130,*********30,3,46,Especialista
30,Lunna,Caldeira,Supervisor de Vendas,2024-10-22,9073.11,1,Vendas,2,Loja Paulista,Física,São Paulo,SP,36470258107,*********07,1,17,Especialista
